sentence_1,sentence_2,similarity,split
சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,இது ஒரு மாயையான புகைப்படம்.,0.0,train
பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.65,train
பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,1.65,train
பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,இது ஒரு மாயையான புகைப்படம்.,0.0,train
பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.65,test
பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,இது ஒரு மாயையான புகைப்படம்.,0.65,test
துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,இது ஒரு மாயையான புகைப்படம்.,0.0,test
காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,புலி மாடடை பின்னால் துரத்துகிறது,1.0,train
காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,புலி ஒன்று வேட்டையாடுகின்றது,1.0,test
காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,1.65,train
காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,சிறுத்தை குதிரையை துரத்துகின்றது,1.0,test
காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,சிங்கம் தன் இரையை துரத்துகின்றது.,5.0,train
காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,குதிரையை சிறுத்தை துரத்துகிறது,1.0,test
காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,1.0,test
காட்டெருமையை சிங்கம் ஒன்று வேட்டையாட துரத்துகிறது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,1.0,test
புலி மாடடை பின்னால் துரத்துகிறது,புலி ஒன்று வேட்டையாடுகின்றது,4.0,train
புலி மாடடை பின்னால் துரத்துகிறது,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,4.35,train
புலி மாடடை பின்னால் துரத்துகிறது,சிறுத்தை குதிரையை துரத்துகின்றது,1.0,test
புலி மாடடை பின்னால் துரத்துகிறது,சிங்கம் தன் இரையை துரத்துகின்றது.,1.0,train
புலி மாடடை பின்னால் துரத்துகிறது,குதிரையை சிறுத்தை துரத்துகிறது,1.0,train
புலி மாடடை பின்னால் துரத்துகிறது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,4.0,test
புலி மாடடை பின்னால் துரத்துகிறது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,4.65,train
புலி ஒன்று வேட்டையாடுகின்றது,புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,5.0,train
புலி ஒன்று வேட்டையாடுகின்றது,சிறுத்தை குதிரையை துரத்துகின்றது,1.0,test
புலி ஒன்று வேட்டையாடுகின்றது,சிங்கம் தன் இரையை துரத்துகின்றது.,1.0,test
புலி ஒன்று வேட்டையாடுகின்றது,குதிரையை சிறுத்தை துரத்துகிறது,1.0,test
புலி ஒன்று வேட்டையாடுகின்றது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,3.0,test
புலி ஒன்று வேட்டையாடுகின்றது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,3.35,test
புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,சிறுத்தை குதிரையை துரத்துகின்றது,1.0,test
புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,சிங்கம் தன் இரையை துரத்துகின்றது.,1.0,test
புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,குதிரையை சிறுத்தை துரத்துகிறது,1.0,test
புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,4.35,train
புலி மாட்டை பிடிக்கும் நோக்கத்துடன் துரத்துகின்றது.,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,3.65,test
சிறுத்தை குதிரையை துரத்துகின்றது,சிங்கம் தன் இரையை துரத்துகின்றது.,1.0,test
சிறுத்தை குதிரையை துரத்துகின்றது,குதிரையை சிறுத்தை துரத்துகிறது,5.0,test
சிறுத்தை குதிரையை துரத்துகின்றது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,1.35,test
சிறுத்தை குதிரையை துரத்துகின்றது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,1.35,test
சிங்கம் தன் இரையை துரத்துகின்றது.,குதிரையை சிறுத்தை துரத்துகிறது,1.0,train
சிங்கம் தன் இரையை துரத்துகின்றது.,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,1.65,train
சிங்கம் தன் இரையை துரத்துகின்றது.,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,1.0,test
குதிரையை சிறுத்தை துரத்துகிறது,காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,1.35,test
குதிரையை சிறுத்தை துரத்துகிறது,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,1.0,train
காளை மாட்டை பிடிப்பதற்காக புலி வீறு கொண்டு பாய்கிறது.,புலி எருமையை வேட்டையாட துரத்துகிறகனது.,4.65,test
பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,5.0,test
பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஒருவர் சந்தையில் ஓடுகின்றார்,3.0,train
பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஒருவர் வீதியில் ஓடுகின்றார்.,3.0,test
பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,4.0,train
பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,3.65,test
பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.0,train
பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.65,train
பூக்கடையின் முன்னால் ஒருவர் வேகமாக ஓடுகிறார்,ஓருவர் வேகமாக ஓடுகின்றார்.,4.0,test
ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,ஒருவர் சந்தையில் ஓடுகின்றார்,1.65,train
ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,ஒருவர் வீதியில் ஓடுகின்றார்.,4.35,test
ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,2.35,train
ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,3.0,train
ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.0,train
ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.0,test
ஒரு மனிதன் வீதியில் வேகமாக ஓடுகிறான்,ஓருவர் வேகமாக ஓடுகின்றார்.,4.35,train
ஒருவர் சந்தையில் ஓடுகின்றார்,ஒருவர் வீதியில் ஓடுகின்றார்.,1.0,train
ஒருவர் சந்தையில் ஓடுகின்றார்,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,1.0,test
ஒருவர் சந்தையில் ஓடுகின்றார்,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,1.0,test
ஒருவர் சந்தையில் ஓடுகின்றார்,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.0,train
ஒருவர் சந்தையில் ஓடுகின்றார்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.0,test
ஒருவர் சந்தையில் ஓடுகின்றார்,ஓருவர் வேகமாக ஓடுகின்றார்.,3.0,test
ஒருவர் வீதியில் ஓடுகின்றார்.,பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,4.0,test
ஒருவர் வீதியில் ஓடுகின்றார்.,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,5.0,test
ஒருவர் வீதியில் ஓடுகின்றார்.,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.0,test
ஒருவர் வீதியில் ஓடுகின்றார்.,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.0,test
ஒருவர் வீதியில் ஓடுகின்றார்.,ஓருவர் வேகமாக ஓடுகின்றார்.,4.0,test
பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,1.0,train
பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,2.0,test
பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,2.65,test
பூக்கடை வழியாக ஒருவர் ஓடுகின்றார்,ஓருவர் வேகமாக ஓடுகின்றார்.,1.0,train
ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,0.0,train
ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,0.0,train
ஒருவர் ஓடிக்கொண்டிருக்கின்றார்.,ஓருவர் வேகமாக ஓடுகின்றார்.,4.0,test
பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,2.0,test
பூ கடை ஊடாக நடை பயிட்சி செய்யும் நபர் கடந்து செல்கிறார்,ஓருவர் வேகமாக ஓடுகின்றார்.,0.0,train
அழகிய பூஞ்செண்டுகள் வீதியோரத்தில் வரிசையாக அடுக்கப்பட்டுள்ளன.,ஓருவர் வேகமாக ஓடுகின்றார்.,0.35,train
துப்பாக்கியால் ஒருவர் சுடுகிறார்,ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,5.0,train
துப்பாக்கியால் ஒருவர் சுடுகிறார்,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,5.0,train
துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,3.35,test
துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,5.0,train
துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,4.65,test
துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,3.35,train
துப்பாக்கியால் ஒருவர் சுடுகிறார்,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,3.0,test
துப்பாக்கியால் ஒருவர் சுடுகிறார்,ஒருவர் சுடுகின்றார்.,3.0,test
ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,ஒருவர் துப்பாக்கியால் சுடுகின்றார்,5.0,train
ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,2.0,train
ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,5.0,test
ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,5.0,train
ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,2.35,test
ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,2.0,test
ஒரு நபர் துப்பாக்கியால் சுடுகின்றார்,ஒருவர் சுடுகின்றார்.,3.0,train
ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,2.0,train
ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,5.0,test
ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,5.0,train
ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,2.0,train
ஒருவர் துப்பாக்கியால் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,2.0,train
ஒருவர் துப்பாக்கியால் சுடுகின்றார்,ஒருவர் சுடுகின்றார்.,3.0,test
துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,துப்பாக்கியால் ஒருவர் சுடுகின்றார்,3.35,train
துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,3.35,train
துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,5.0,train
துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,4.0,train
துப்பாக்கியில் இருந்து குண்டு செல்கின்றது.,ஒருவர் சுடுகின்றார்.,2.65,test
துப்பாக்கியால் ஒருவர் சுடுகின்றார்,துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,5.0,train
துப்பாக்கியால் ஒருவர் சுடுகின்றார்,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,2.0,train
துப்பாக்கியால் ஒருவர் சுடுகின்றார்,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,2.0,train
துப்பாக்கியால் ஒருவர் சுடுகின்றார்,ஒருவர் சுடுகின்றார்.,3.0,test
துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,2.35,train
துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,2.35,test
துப்பாக்கியால் ஒருவர் சுடுகின்றார்.,ஒருவர் சுடுகின்றார்.,2.35,train
துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,4.0,train
துப்பாக்கியில் இருந்து சன்னம் வெளியேருகிறது,ஒருவர் சுடுகின்றார்.,3.0,train
துப்பாக்கியில் இருந்து குண்டு மிக வேகமாக பாய்கிறது.,ஒருவர் சுடுகின்றார்.,3.0,train
ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,0.0,train
ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,0.0,test
ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,3.0,train
ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,2.0,train
ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,0.0,test
ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,2.0,test
ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.0,train
ஜிம்னாஸ்த்திக் வீராங்கனைகள் சாகசம் புரிகின்றனர்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,2.0,test
பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,பெண்கள் மகிழ்ச்சியில் உள்ளனர்,5.0,train
பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,0.0,test
பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,0.0,test
பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,0.0,test
பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,2.0,test
பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.0,train
பெண்கள் மகிழ்ச்சியில் துள்ளி குதிக்கின்றார்கள்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.0,train
பெண்கள் மகிழ்ச்சியில் உள்ளனர்,ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,0.0,test
பெண்கள் மகிழ்ச்சியில் உள்ளனர்,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,0.0,test
பெண்கள் மகிழ்ச்சியில் உள்ளனர்,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,0.0,test
பெண்கள் மகிழ்ச்சியில் உள்ளனர்,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,2.0,test
பெண்கள் மகிழ்ச்சியில் உள்ளனர்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.0,test
பெண்கள் மகிழ்ச்சியில் உள்ளனர்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.0,test
ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,2.0,train
ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,1.0,train
ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,4.0,test
ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.0,train
ஒரு பெண்ணை எறிந்து விட்டு பிடிப்பதற்காக மற்றைய பெண்கள் கைகளை ஏந்துகின்றனர்.,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,2.0,train
விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,2.0,train
விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,1.35,train
விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,1.0,train
விழுகின்ற பெண்ணை நண்பர்கள் தாங்குகின்றார்கள்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,4.0,test
சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,4.0,train
சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.0,train
சிறுவர்கள் நண்பியை எறிந்து விளையாடுகிறார்கள்.,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,2.0,test
பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,0.0,test
பெண்கள் அவர்களில் ஒருவரை எறிந்து பிடித்து விளையாடுகின்றனர்,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,2.0,train
விளையாட்டு வீராங்கனை மிக உயரப் பாய்ந்து சாதனை படைக்கிறாள்.,ஒருவரை பலர் ஏந்த முயர்சிக்கிறனர்.,0.0,test
