language,sentence_1,sentence_2,similarity,rouge_l,bleu_1
english,A dog rides a skateboard.,A dog is riding a skateboard.,5.0,0.7272727272727272,0.8
english,A woman is frying fish.,A woman is cooking fish.,4.0,0.8000000000000002,0.8
english,A woman is playing an electric guitar.,A woman is playing a guitar.,3.6,0.7692307692307692,0.7142857142857143
english,A person is slicing a tomato.,A person is slicing some meat.,1.75,0.6666666666666666,0.6666666666666666
english,A person cuts an onion.,A person is cutting an onion.,5.0,0.7272727272727272,0.8
english,A woman is playing the flute.,A man is playing the guitar.,1.0,0.6666666666666666,0.6666666666666666
english,A boy is playing guitar.,A man is playing a guitar.,3.2,0.7272727272727272,0.8
english,A little boy is playing a keyboard.,A boy is playing key board.,4.4,0.6153846153846153,0.5714285714285714
english,A man is playing a guitar.,A man is playing an electric guitar.,3.75,0.7692307692307692,0.8333333333333334
english,A dog licks a baby.,A dog is licking a baby.,4.75,0.7272727272727272,0.8
english,A man is playing the guitar.,A man is playing the drums.,1.556,0.8333333333333334,0.8333333333333334
english,A man is playing the drums.,A man plays the drum.,5.0,0.5454545454545454,0.5
english,A woman rides a horse.,A woman is riding a horse.,5.0,0.7272727272727272,0.8
english,A cat is playing a key board.,A man is playing two keyboards.,1.6,0.4615384615384615,0.42857142857142855
english,A man chops down a tree with an axe.,A man cut a tree with an axe.,4.75,0.823529411764706,0.7777777777777778
english,A kid plays with a toy phone.,A little boy plays with a toy phone.,3.5,0.7999999999999999,0.8571428571428571
english,A man is riding a motorcycle.,A man is riding a horse.,1.4,0.8333333333333334,0.8333333333333334
english,A squirrel is spinning around in circles.,A squirrel runs around in circles.,4.0,0.7692307692307692,0.7142857142857143
english,A man and a woman are kissing.,A man and woman kiss.,5.0,0.6666666666666666,0.5714285714285714
english,A man is getting into a car.,A man is getting into a car in a garage.,3.833,0.7058823529411764,0.8571428571428571
english,A tiger cub is making a sound.,A tiger is walking around.,2.0,0.5,0.42857142857142855
english,A woman is peeling a potato.,A woman is peeling an apple.,2.0,0.6666666666666666,0.6666666666666666
english,A person is peeling an onion.,A person is peeling an eggplant.,2.0,0.8333333333333334,0.8333333333333334
english,A monkey pushes another monkey.,The monkey pushed the other monkey.,4.8,0.3636363636363636,0.4
english,A man is tying his shoe.,A man ties his shoe.,5.0,0.7272727272727272,0.6666666666666666
english,A dog is eating water melon.,A dog is eating a piece of watermelon.,4.25,0.5714285714285715,0.6666666666666666
english,A man is peeling a potato.,A man peeled a potatoe.,3.8,0.5454545454545454,0.5
english,A woman is slicing tomato.,A man is slicing onion.,1.6,0.6,0.6
english,A man and woman are talking.,A man and woman is eating.,1.6,0.6666666666666666,0.6666666666666666
english,The men are playing cricket.,The men are playing basketball.,2.2,0.8000000000000002,0.8
english,A man is playing a guitar.,A man is singing and playing a guitar.,3.6,0.8571428571428571,1.0
english,The man talked on the telephone.,The man is talking on the phone.,3.6,0.6153846153846153,0.6666666666666666
english,A man is fishing.,A man is exercising.,0.5,0.75,0.75
english,A man is levitating.,A man is talking.,0.8,0.75,0.75
english,Two boys are driving.,Two bays are dancing.,0.6,0.5,0.5
english,A man is riding a bicycle.,A monkey is riding a bike.,2.0,0.6666666666666666,0.6666666666666666
english,The man is playing the guitar.,A man is playing the flute.,1.643,0.6666666666666666,0.6666666666666666
english,A man is playing the piano.,The man is playing the violin.,1.75,0.6666666666666666,0.6666666666666666
english,A woman is slicing up some meat.,A woman is breading some meat.,2.25,0.7692307692307692,0.7142857142857143
english,The lady chopped up the green onions.,The lady cut up a green onion.,4.8,0.5714285714285714,0.5714285714285714
english,Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.,4.0,0.5333333333333333,0.5714285714285714
english,A man is playing a piano.,A person is playing the piano.,4.4,0.6666666666666666,0.6666666666666666
english,A woman is playing flute.,A woman plays on a flute.,4.6,0.5454545454545454,0.6
english,A boy is checking a calender.,A boy is looking at a calendar.,3.8,0.6153846153846153,0.6666666666666666
english,A woman is cutting an onion.,A woman is chopping onions.,4.8,0.5454545454545454,0.5
english,A man is riding on a horse.,A man is talking on a phone.,1.0,0.7142857142857143,0.7142857142857143
english,A man is riding a bike.,A man is riding on a horse.,2.0,0.7692307692307692,0.8333333333333334
english,A woman is dancing.,A man is eating.,0.143,0.5,0.5
english,A man is playing a piano.,A man is playing a flute.,2.0,0.8333333333333334,0.8333333333333334
english,A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.,3.4,0.75,0.75
english,The people got off the train.,The people got off the train at the station.,4.0,0.6666666666666667,0.8333333333333334
english,A woman plays the guitar.,A man sings and plays the guitar.,1.75,0.6666666666666666,0.8
english,Two women are wrestling.,Two women are wrestling on the floor.,4.0,0.5454545454545454,0.75
english,A kangroo is eating something.,A kangaroo is eating.,4.8,0.4444444444444445,0.4
english,The man cut some carpet with a knife.,A man is cutting carpet with a knife.,4.75,0.625,0.625
english,A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.,2.2,0.47058823529411764,0.4
english,A woman is dancing.,A man is talking.,0.0,0.5,0.5
english,A man cuts up potatos.,A man slices potatoes.,4.8,0.4444444444444445,0.4
english,A woman is chopping up garlic.,The woman is dicing garlic.,4.8,0.5454545454545454,0.5
english,A man is walking slowly across a rope bridge.,A boy is walking across a bridge.,3.0,0.75,0.6666666666666666
english,A man is playing the guitar.,A man seated in a room is playing the guitar.,4.0,0.7499999999999999,1.0
english,A man plays the flute.,A man is playing a flute.,5.0,0.5454545454545454,0.6
english,Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.,4.4,0.5,0.45454545454545453
english,A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.,3.8,0.39999999999999997,0.42857142857142855
english,A man is paddling a canoe.,A man is playing a harp.,0.667,0.6666666666666666,0.6666666666666666
english,Two women mix something in a food processor.,Two women make something in a blender.,4.0,0.6666666666666666,0.625
english,A person is surfing a large wave.,A person is surfing.,3.6,0.5454545454545454,0.42857142857142855
english,A person is boiling noodles.,A woman is boiling noodles in water.,4.0,0.5,0.6
english,A group of people dance on a hill.,A group of people are dancing.,3.2,0.5714285714285715,0.5
english,A man is putting a pan into an oven.,A woman is cutting an onion.,0.6,0.4,0.3333333333333333
english,Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.,3.4,0.6666666666666666,0.7142857142857143
english,A woman is playing a flute on stage.,The woman is playing the flute.,3.6,0.42857142857142855,0.375
english,A baby is laughing.,A baby is laughing and giggling.,4.0,0.6,0.75
english,A man is running.,A man is running down a road.,3.5,0.5454545454545454,0.75
english,The woman is rolling dough.,A woman is flouring and rolling dough.,3.765,0.6666666666666666,0.8
english,A woman is adding oil on fishes.,A woman is pouring water on fish.,2.25,0.5714285714285714,0.5714285714285714
english,A young boy is holding a guitar.,A little boy is playing a guitar.,2.75,0.7142857142857143,0.7142857142857143
english,A cheetah is running.,A cheetah is running across a field.,3.8,0.5454545454545454,0.75
english,A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.,1.2,0.631578947368421,0.6666666666666666
english,A man is playing a guitar.,A man is cleaning a glass door.,0.4,0.6153846153846153,0.6666666666666666
english,A girl is singing and playing a guitar.,A young man is singing while playing the guitar.,2.4,0.5882352941176471,0.625
english,A girl is communicating with sign language.,A young girl is using sign language.,3.941,0.7142857142857143,0.7142857142857143
english,A big green ball knocks a potato over.,A large green ball hits a potato.,4.0,0.5333333333333333,0.5
english,A cat is playing keyboards.,A cat is playing a piano.,3.0,0.7272727272727272,0.8
english,The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.,2.0,0.631578947368421,0.6666666666666666
english,A woman slices tofu.,A woman is cutting tofu.,5.0,0.6666666666666665,0.75
english,The person is riding the horse.,A man is riding a horse.,3.8,0.5,0.5
english,Someone is feeding a animal.,Someone is playing a piano.,0.0,0.6,0.6
english,Someone is slicing tortila's.,Someone is riding a horse.,0.0,0.4444444444444445,0.5
english,Someone is mixing ingrediants.,Someone is sewing things.,0.25,0.5,0.5
english,A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.,4.0,0.6666666666666666,0.7142857142857143
english,A woman holds a kangaroo.,A woman is picking up a kangaroo.,3.25,0.6666666666666666,0.8
english,A man is playing with frogs,A cat is playing with a camera.,0.75,0.6153846153846153,0.6666666666666666
english,Two men are talking.,Two men are playing guitar.,1.5,0.6666666666666665,0.75
english,A man is mowing a lawn.,A woman is cutting a lemon.,0.2,0.5,0.5
english,A man is slicing a potato into pieces.,A man is cutting a potato.,4.2,0.5714285714285715,0.5
english,A man is punching through boards.,A dog is running through water.,0.4,0.5,0.5
english,Someone is playing a piano.,A man is playing a guitar.,1.2,0.5454545454545454,0.6
english,Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.,2.8,0.5882352941176471,0.45454545454545453
english,A person plays a keyboard.,Someone is playing a keyboard.,5.0,0.4000000000000001,0.4
english,Someone is slicing an onion.,Someoen is peeling a potato.,1.0,0.20000000000000004,0.2
english,A man is swimming.,A woman is slicing meat.,0.0,0.4444444444444445,0.5
english,A man is playing the guitar.,A man plays an acoustic guitar.,3.75,0.5,0.5
english,A woman is dancing.,A woman is kneading dough.,0.4,0.6666666666666665,0.75
english,A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.,0.6,0.5,0.5
english,A car is moving through a road.,A car is driving down the road.,4.0,0.5714285714285714,0.5714285714285714
english,Someone is greasing a pan.,Smeone is laying down.,0.4,0.22222222222222224,0.2
english,A man is playing guitar.,A man is draining pasta.,0.4,0.6,0.6
english,A woman is drinking vodka.,A woman is exercising.,0.4,0.6666666666666665,0.6
english,A woman is cutting meat into pieces.,A woman is cutting up some meat.,4.8,0.5714285714285714,0.5714285714285714
english,A man is rinsing a steak.,A man is playing a guitar.,0.6,0.6666666666666666,0.6666666666666666
english,A man is kicking a soccer ball.,A man is mixing a bowl.,0.6,0.6153846153846153,0.5714285714285714
english,A woman is frying something.,A woman is riding a horse.,0.6,0.5454545454545454,0.6
english,The man is slicing a fish open.,A man is slicing a potato.,2.2,0.6153846153846153,0.5714285714285714
english,The man is driving a white car.,A man is giving an interview.,0.4,0.30769230769230765,0.42857142857142855
english,A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.,5.0,0.5333333333333333,0.5
english,The boy is playing the piano.,A boy plays a piano.,5.0,0.3636363636363636,0.3333333333333333
english,A girl is playing a flute.,A band is playing on a stage.,1.286,0.6153846153846153,0.6666666666666666
english,People step off a train.,A group of people get off a train.,4.6,0.6153846153846154,0.8
english,A woman is sewing on a machine.,A woman is breading some meat.,0.6,0.4615384615384615,0.42857142857142855
english,A dog is looking into swimming pool.,A dog is walking around a pool.,2.0,0.5714285714285714,0.5714285714285714
english,A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.,1.8,0.4615384615384615,0.42857142857142855
english,A lion is walking.,A lion is pacing in a pen.,2.4,0.5454545454545454,0.75
english,A man shooting a car.,A man is cutting a potato.,0.4,0.5454545454545454,0.6
english,A black horse is running around.,The horse is running.,4.2,0.4,0.3333333333333333
english,A woman is deveining shrimp.,A man is dancing in rain.,0.0,0.3636363636363636,0.4
english,A man is riding a horse.,A woman is washing a freezer.,0.0,0.5,0.5
english,A man walks down a path.,A man walks across a tight rope.,0.8,0.6153846153846153,0.6666666666666666
english,A kid runs away from a fish swinging around on a fishing pole.,A little kid is running around a fishing pole.,2.5,0.5454545454545455,0.46153846153846156
english,An elderly man is speaking at a podium.,A man is making a speech at the podium.,3.5,0.47058823529411764,0.625
english,A man riding a horse in slow motion.,A man is riding on a horse.,3.4,0.5333333333333333,0.5
english,A person is cutting some burrata cheese.,The person is slicing cheese.,3.8,0.5,0.42857142857142855
english,The man is shooting an automatic rifle.,A man is shooting a gun.,3.8,0.4615384615384615,0.42857142857142855
english,A man is rowing a boat.,A man is shooting off a gun.,0.85,0.6153846153846153,0.6666666666666666
english,A woman is riding a horse on a beach.,A man is carrying another man on his back.,0.4,0.3333333333333333,0.3333333333333333
english,The woman is peeling shrimp.,The man is holding a lemur.,0.0,0.3636363636363636,0.4
english,Some men are playing guitars.,Three men are playing guitars and singing together.,3.2,0.4615384615384615,0.6
english,The elephants sprayed water on themselves.,Elephants spray themselves with water.,3.6,0.1818181818181818,0.16666666666666666
english,A girl is playing a violin.,A baby is laughing and giggling.,0.25,0.3333333333333333,0.3333333333333333
english,A helicopter is landing on a helipad.,A helicopter lands.,3.923,0.4,0.2857142857142857
english,A woman is cutting a cucumber.,A man is playing a guitar.,0.0,0.5,0.5
english,A puppy is sliding backwards along the floor.,A puppy is pushing itself backwards.,3.8,0.42857142857142855,0.375
english,A woman splits garlic cloves.,A woman is breaking a head of garlic into cloves.,4.6,0.5333333333333333,0.8
english,A dog is looking into swimming pool.,A dog is walking along the edge of a pool.,2.6,0.47058823529411764,0.5714285714285714
english,A woman mixes a beauty treatment in a glass.,A woman is mixing a cream in a glass with a spoon.,3.6,0.4761904761904762,0.5555555555555556
english,A woman is picking tomatoes.,A woman is pouring batter into a bowl.,1.0,0.4615384615384615,0.6
english,A man is looking at a computer monitor.,A man is using a laptop.,2.75,0.5714285714285715,0.5
english,The boy is riding a tricycle.,A woman is riding a water scooter.,1.25,0.4615384615384615,0.5
english,Two men compete in a tire rolling race.,Two people flipped tractor tires in a race.,2.75,0.5,0.5
english,A person is cutting a meat.,A person riding a mechanical bull,0.0,0.5,0.5
english,A man is playing a violin.,A woman is using a sewing machine.,0.0,0.4615384615384615,0.5
english,A monkey pulls the tail of a dog.,A monkey is teasing a dog at the zoo.,2.8,0.35294117647058826,0.5
english,A dog lies on his back on a wooden floor.,A dog is laying on the floor.,4.0,0.47058823529411764,0.4
english,A woman is frying something in the pan.,A man is playing his guitar.,0.0,0.28571428571428575,0.25
english,A man puts seasoning in a bowl of water.,The man added seasoning to water in a bowl.,5.0,0.4444444444444444,0.4444444444444444
english,A woman is chopping an onion.,A woman is slicing partially into half of an onion.,3.2,0.625,0.8333333333333334
english,The woman picked up the kangaroo.,A woman is carrying a kangaroo.,3.5,0.3333333333333333,0.3333333333333333
english,A dog biting on a can.,A dog opens a can of food.,1.75,0.4615384615384615,0.5
english,A man is mowing grass.,A man is busting concrete.,0.833,0.6,0.6
english,A cat is watching a TV.,A man is slicing a leave.,0.0,0.5,0.5
english,People flip into a swimming pool.,Men are falling into a pool.,2.75,0.5,0.5
english,A man is playing a guitar.,A woman is dancing.,0.2,0.4,0.3333333333333333
english,An airplane is flying in the air.,A South African Airways plane is flying in a blue sky.,3.4,0.33333333333333326,0.42857142857142855
english,A person is riding a horse.,A woman is slicing potatoes.,0.0,0.3636363636363636,0.3333333333333333
english,A woman is slicing octopus.,A man is playing the guitar.,0.0,0.3636363636363636,0.4
english,A man is breaking water jugs.,A woman is peeling garlic.,0.2,0.3636363636363636,0.3333333333333333
english,The little girl played on the grass with a dog and a ball.,A baby plays with a dog and ball.,3.8,0.4761904761904762,0.46153846153846156
english,The lady cut up a potatoe.,A man is cutting a potato.,2.4,0.16666666666666666,0.16666666666666666
english,A dog is playing in the snow.,A dog is pawing at a fly in the carpet before it.,1.6,0.5263157894736842,0.7142857142857143
english,A boy is pushing a van.,A person is slicing a tomato.,0.0,0.5,0.5
english,A boy is making some dance steps.,A boy is pouring something from a pitcher.,0.4,0.39999999999999997,0.42857142857142855
english,A woman is opening a soda and drinking it.,A woman is riding on an elephant.,0.6,0.375,0.3333333333333333
english,A man is assembling speaker parts.,A man is playing the guitar.,1.0,0.5,0.5
english,Someone fell off a horse.,A man gets knocked off of a horse.,3.5,0.4615384615384615,0.6
english,A person is doing pencil tricks with his hand.,A person is slicing carrots in half.,0.333,0.375,0.3333333333333333
english,The person lit the cameras on fire.,A person is blow torching cameras.,3.333,0.15384615384615383,0.14285714285714285
english,The man is slicing the tape from the box.,A man is cutting open a box.,4.333,0.375,0.3333333333333333
english,A man is riding a bike.,A woman is dancing in the street.,0.2,0.30769230769230765,0.3333333333333333
english,The little boy is singing and playing the guitar.,A baby is playing a guitar.,2.8,0.4,0.3333333333333333
english,A woman is powdering her face.,The woman is tapping her fingers on the table.,0.8,0.4,0.5
english,The woman is waterskiing.,A woman is wake boarding on a lake.,1.75,0.3333333333333333,0.5
english,A man and woman is riding in a car.,A woman is frying shrimp.,0.4,0.42857142857142855,0.3333333333333333
english,A man is moving a tree limb.,The woman is playing the violin.,0.0,0.15384615384615383,0.14285714285714285
english,A man plays a piano.,A woman is playing the violin.,1.0,0.1818181818181818,0.2
english,A person pours oil on a skillet.,A person is dicing an onion.,0.8,0.30769230769230765,0.2857142857142857
english,The animal is eating.,A woman is dancing.,0.0,0.25,0.25
english,The woman is walking her dog.,A woman walks her dog down the street.,4.0,0.28571428571428575,0.5
english,The cat is drinking milk.,A cat is licking from a saucer of milk.,4.4,0.42857142857142855,0.6
english,A girl is making eyelid.,A woman is applying eyeshadow.,2.0,0.4000000000000001,0.4
english,Two men are fighting.,Two men are fighting using a form of martial arts.,2.8,0.4285714285714285,0.75
english,The man is putting chicken into the container.,A man is putting foods in a box.,2.5,0.375,0.375
english,Two puppies are playing with each other.,Some men are playing soccer.,0.2,0.3333333333333333,0.2857142857142857
english,A man is hugging someone.,A man is taking a picture.,0.4,0.5454545454545454,0.6
english,Someone is pouring ingrediants into a pot.,A man puts vegetables into a pot.,2.8,0.42857142857142855,0.42857142857142855
english,A couple are walking.,Some men are sawing.,0.0,0.25,0.25
english,A person is playing a guitar.,The man played his guitar.,3.0,0.1818181818181818,0.16666666666666666
english,A man is playing a guitar.,Someone is handling a bun.,0.0,0.3636363636363636,0.3333333333333333
english,A dog is jumping on a trampoline.,A boy is playing a guitar.,0.0,0.4615384615384615,0.42857142857142855
english,A man is shaking a container over a kitchen sink.,A man is emptying a plastic container.,2.2,0.47058823529411764,0.4
english,A man is walking with a horse.,A man is leading a horse around by it's halter.,3.75,0.47058823529411764,0.5714285714285714
english,A person peels shrimp.,The lady peeled the shrimp.,3.5,0.22222222222222224,0.25
english,A man making a bed in a hotel.,A man is holding a animal.,0.8,0.42857142857142855,0.375
english,The dog pulled the dogs tail and then his leg.,A monkey pulled a dogs tail.,1.75,0.25,0.2
english,A woman beats two eggs in a bowl.,A person is mixing ingredients in a bowl.,3.0,0.5,0.5
english,A person is slicing some onions.,A hamster is singing.,0.0,0.4,0.3333333333333333
english,Soccer players are kicking a soccer ball into the goal.,A soccer player scores a goal.,3.8,0.37499999999999994,0.3
english,A man is carrying another man.,A man sprays another man with water from a hose.,0.8,0.37499999999999994,0.5
english,Someone pours olive oil into a bowl of tomato wedges.,The man poured oil on the tomato slices.,3.75,0.22222222222222224,0.2
english,A man is playing the guitar.,The man played his guitar with a friend.,3.2,0.14285714285714288,0.5
english,Someone is boiling okra in a pot.,Someone pours olive oil into a bowl of tomato wedges.,0.8,0.23529411764705882,0.2857142857142857
english,A cat is jumping into a box.,A young man is talking to a leaf.,0.0,0.39999999999999997,0.42857142857142855
english,An explosion is booming in the desert.,A nuclear weapon explodes in a desert.,3.4,0.2857142857142857,0.2857142857142857
english,A woman slices a lemon.,A man is talking into a microphone.,0.0,0.3333333333333333,0.4
english,An overweight man is skipping rope.,A young man is dancing.,0.8,0.3636363636363636,0.3333333333333333
english,A man sharpens a pencil using a knife.,A woman is dancing in the rain.,0.0,0.13333333333333333,0.125
english,A woman is slicing meat with a knife.,A man is spreading out dough.,0.417,0.28571428571428575,0.25
english,A dog is running on the ground.,A girl is tapping her finger nails.,0.0,0.2857142857142857,0.2857142857142857
english,A rat like creature is smelling around.,An animal is walking on the ground.,2.0,0.14285714285714285,0.14285714285714285
english,Two Sumo ringers are fighting each other.,A man rides a water toy in the water.,0.0,0.0,0.0
english,A couple are running towards the ocean.,"A man and and woman are running together, holding hands.",2.818,0.3529411764705882,0.42857142857142855
english,Two robots share a kiss.,A male and female robot are kissing.,3.8,0.16666666666666666,0.2
english,A cat is trying to touch a dog.,The cat teased the dog by touching his head.,3.25,0.11764705882352941,0.125
english,The man drove his little red car around the traffic.,The dog ran in the water at the beach.,0.0,0.2105263157894737,0.2
english,A man is cutting bread.,A man is doing tricks with a soccer ball.,1.0,0.42857142857142855,0.6
english,A cat rapidly swats a kid in the head.,A cat and a boy play together.,2.6,0.375,0.3333333333333333
english,The couple danced in the church.,A couple slow dances.,3.2,0.2,0.16666666666666666
english,A man is patting an alligator on the mouth.,A person is dumping chopped vegetables into a pot on the stove.,0.0,0.380952380952381,0.4444444444444444
english,A man is slicing a pepper.,A person cuts a big green pepper apart.,3.8,0.28571428571428575,0.3333333333333333
english,A small monkey walks through water.,A monkey is wading across a marsh.,3.4,0.30769230769230765,0.3333333333333333
english,A man is riding a bike.,A panda bear is eating.,0.0,0.3636363636363636,0.3333333333333333
english,The lady sliced a tomatoe.,Someone is cutting a tomato.,4.0,0.20000000000000004,0.2
english,Someone is holding a hedgehog.,A onion is being sliced.,0.0,0.20000000000000004,0.4
english,A cat is drinking some water.,A truck is going down a hill.,0.0,0.30769230769230765,0.3333333333333333
english,A person is putting salt and pepper on a piece of pork.,A youngster is sitting on a piano.,0.0,0.4210526315789474,0.3333333333333333
english,The man sat in his chair and stared.,The little girl is putting her hair into a pony tail.,0.0,0.10526315789473685,0.125
english,A baby is crawling happily.,A baby sneezed and scared another baby.,1.2,0.3333333333333333,0.4
english,A man is looking out of a window.,A woman is swimming in the water.,0.25,0.26666666666666666,0.25
english,A man seated is playing the guitar.,A man is playing an acoustic guitar and singing into a microphone.,3.25,0.4210526315789474,0.5714285714285714
english,Two men are fighting.,The man is exercising.,0.75,0.0,0.0
english,A man is playing a wooden flute while several other men play bongo drums.,A man is playing a flute.,3.25,0.5,0.35714285714285715
english,The hedgehog chewed on the towel.,A hedgehog is biting at a blanket.,3.4,0.15384615384615383,0.16666666666666666
english,A small guinea pig is gnawing and eating a piece of carrot on the floor.,A Guinea pig eats a carrot.,3.5,0.3809523809523809,0.26666666666666666
english,Four boys are standing in front of the burning car.,Four young men stand still as a car explodes behind them.,3.75,0.09523809523809525,0.1
english,A submarine is going through water.,A baby is falling asleep.,0.0,0.3636363636363636,0.3333333333333333
english,A person is slicing an onion.,A cat is pooping into a toilet.,0.0,0.30769230769230765,0.3333333333333333
english,A woman is slicing big pepper.,A dog is moving its mouth.,0.0,0.3333333333333333,0.3333333333333333
english,A man is riding a bicycle.,A man is riding a bike.,5.0,0.8333333333333334,0.8333333333333334
english,A woman is slicing an onion.,A woman is cutting an onion.,4.2,0.8333333333333334,0.8333333333333334
english,A man is playing the guitar.,A man is playing the flute.,2.2,0.8333333333333334,0.8333333333333334
english,A cat opens a drawer and climbs inside.,A cat is opening a drawer and climbing inside.,5.0,0.7058823529411765,0.75
english,A woman is frying a food.,A woman is deep frying food.,4.25,0.8333333333333334,0.8333333333333334
english,A girl is playing a guitar.,A man is playing a guitar.,2.8,0.8333333333333334,0.8333333333333334
english,A girl is singing on stage.,A man is singing on stage.,2.8,0.8333333333333334,0.8333333333333334
english,A woman is riding a horse.,A woman is riding a donkey.,2.8,0.8333333333333334,0.8333333333333334
english,A woman is brushing some shrimp.,A woman brushes some shrimp.,5.0,0.7272727272727272,0.6666666666666666
english,A man plays the guitar.,A man is playing the guitar.,5.0,0.7272727272727272,0.8
english,A man is playing a piano.,A man is playing a guitar.,1.778,0.8333333333333334,0.8333333333333334
english,A man is playing a guitar.,A man is playing a piano.,2.0,0.8333333333333334,0.8333333333333334
english,Two women are on a couch.,Two women are hugging on a couch.,3.2,0.923076923076923,1.0
english,Someone is slicing a cucumber.,A man is slicing a cucumber.,3.8,0.7272727272727272,0.8
english,The dog is barking at the toy.,A dog is barking at a toy.,5.0,0.7142857142857143,0.7142857142857143
english,A person folds a tortilla.,A man folds a tortilla.,3.5,0.8000000000000002,0.8
english,A cow is eating grass.,A cow is eating hay.,3.8,0.8000000000000002,0.8
english,A woman is chopping broccoli.,A woman is chopping garlic.,2.6,0.8000000000000002,0.8
english,A man is crying.,A man is screaming.,3.0,0.75,0.75
english,Someone is boiling okra in a pot.,Someone is cooking okra in a pan.,4.4,0.7142857142857143,0.7142857142857143
english,The man is playing the drums.,A man is playing drums.,5.0,0.7272727272727272,0.6666666666666666
english,A man dives into a pool.,A man is diving into a pool.,5.0,0.7692307692307692,0.8333333333333334
english,A little boy is playing a guitar.,A boy is playing guitar.,4.6,0.8333333333333333,0.7142857142857143
english,Women are talking.,The men are talking.,2.6,0.5714285714285715,0.6666666666666666
english,A girl is putting gel in her hair.,A woman is putting gel on her hair.,2.6,0.75,0.75
english,A kid is playing guitar.,A man is playing a guitar.,2.2,0.7272727272727272,0.8
english,A group of people are marching in place.,A group of people are dancing in concert.,1.7,0.75,0.75
english,The woman is shooting a machine gun.,The man is shooting a gun.,2.0,0.7692307692307692,0.7142857142857143
english,A woman is slicing an onion.,Someone is slicing a onion.,3.25,0.5454545454545454,0.6666666666666666
english,A man is slicing a cucumber.,A man is cutting cucumbers.,4.5,0.5454545454545454,0.5
english,A girl is eating a cupcake.,A woman is eating a cupcake.,2.6,0.8333333333333334,0.8333333333333334
english,A woman is cutting an onion.,A man is chopping an onion.,2.0,0.6666666666666666,0.6666666666666666
english,The man is playing a guitar.,A baby is playing a guitar.,1.8,0.6666666666666666,0.6666666666666666
english,Two little girls talk on the telephone.,Two girls talk on the phone.,4.5,0.7692307692307692,0.7142857142857143
english,A man is chopping a log with an axe.,A man is chopping a tree trunk with an axe.,4.0,0.8421052631578948,0.8888888888888888
english,A man is talking with a woman.,A woman is walking with a dog.,0.5,0.5714285714285714,0.5714285714285714
english,The man is walking.,A man is talking.,1.4,0.5,0.5
english,Someone is pouring oil into a skillet.,Someone is pouring milk into a blender.,1.6,0.7142857142857143,0.7142857142857143
english,A small kitten is playing a ball.,A kitten is playing with a ball.,4.4,0.8571428571428571,0.8571428571428571
