sentence_1,sentence_2,similarity,split
මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි ,2.65,train
මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි,මිනිසෙකු මෝටර් රථයක් අලුත් වැඩියා කරයි ,3.0,test
මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි,පුද්ගලයෙක්  මෝටර් රථයක් පිරිසිදු කරයි,3.65,train
මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි ,3.35,train
මිනිසෙකු මෝටර් රථයක් අලුත් වැඩියා කරයි ,පුද්ගලයෙක්  මෝටර් රථයක් පිරිසිදු කරයි,2.35,train
මිනිසෙකු මෝටර් රථයක් අලුත් වැඩියා කරයි ,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි ,2.35,train
පුද්ගලයෙක්  මෝටර් රථයක් පිරිසිදු කරයි,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි ,4.0,test
ක්‍රීඩකයෙක් ඔහුගේ පිත්ත ඔසවයි,බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි,3.0,test
ක්‍රීඩකයෙක් ඔහුගේ පිත්ත ඔසවයි,ක්‍රීඩකයෙකු බේස් බෝල් ක්‍රීඩාවේ යෙදී සිටී ,3.35,test
ක්‍රීඩකයෙක් ඔහුගේ පිත්ත ඔසවයි,ක්‍රීඩකයෙකු පිත්තක් ඔසවාගෙන සිටියි,4.0,test
ක්‍රීඩකයෙක් ඔහුගේ පිත්ත ඔසවයි,ක්‍රීඩාංගනයක් මැද සිටගෙන සිටින වින්සුරුවෙකු යම් සංඥාවක් ලබා දෙයි ,0.65,test
බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි,ක්‍රීඩකයෙකු බේස් බෝල් ක්‍රීඩාවේ යෙදී සිටී ,2.65,train
බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි,ක්‍රීඩකයෙකු පිත්තක් ඔසවාගෙන සිටියි,3.65,test
බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි,ක්‍රීඩාංගනයක් මැද සිටගෙන සිටින වින්සුරුවෙකු යම් සංඥාවක් ලබා දෙයි ,1.0,test
ක්‍රීඩකයෙකු බේස් බෝල් ක්‍රීඩාවේ යෙදී සිටී ,ක්‍රීඩකයෙකු පිත්තක් ඔසවාගෙන සිටියි,2.65,test
ක්‍රීඩකයෙකු බේස් බෝල් ක්‍රීඩාවේ යෙදී සිටී ,ක්‍රීඩාංගනයක් මැද සිටගෙන සිටින වින්සුරුවෙකු යම් සංඥාවක් ලබා දෙයි ,1.0,train
ක්‍රීඩකයෙකු පිත්තක් ඔසවාගෙන සිටියි,ක්‍රීඩාංගනයක් මැද සිටගෙන සිටින වින්සුරුවෙකු යම් සංඥාවක් ලබා දෙයි ,1.0,train
මිනිසෙක් කන්දක් තරණය කරයි,මිනිහෙක් ආරක්ෂිත ලණුවක් සමඟ කන්දක් නගියි,3.65,train
මිනිසෙක් කන්දක් තරණය කරයි,මිනිසෙකු කන්දක් තරණය කරයි ,5.0,train
මිනිසෙක් කන්දක් තරණය කරයි,මිනිසෙක් කන්දක් නගියි,5.0,test
මිනිසෙක් කන්දක් තරණය කරයි,උඩුකය නිරුවත්ව පුද්ගලයෙකු කදු තරණයක යෙදේ ,4.0,test
මිනිහෙක් ආරක්ෂිත ලණුවක් සමඟ කන්දක් නගියි,මිනිසෙකු කන්දක් තරණය කරයි ,4.0,train
මිනිහෙක් ආරක්ෂිත ලණුවක් සමඟ කන්දක් නගියි,මිනිසෙක් කන්දක් නගියි,4.0,test
මිනිහෙක් ආරක්ෂිත ලණුවක් සමඟ කන්දක් නගියි,උඩුකය නිරුවත්ව පුද්ගලයෙකු කදු තරණයක යෙදේ ,3.35,test
මිනිසෙකු කන්දක් තරණය කරයි ,මිනිසෙක් කන්දක් නගියි,4.65,train
මිනිසෙකු කන්දක් තරණය කරයි ,උඩුකය නිරුවත්ව පුද්ගලයෙකු කදු තරණයක යෙදේ ,4.0,test
මිනිසෙක් කන්දක් නගියි,උඩුකය නිරුවත්ව පුද්ගලයෙකු කදු තරණයක යෙදේ ,4.0,train
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් සහ සුදු පැහැති මෝටර් සයිකලයක ගමන් කරයි,3.65,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,යතුරු පැදි ධාවන තරඟයක යතුරු පැදියක් වේගයෙන් ධාවනය කරයි ,3.65,train
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,3.65,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,යතුරු පැදි ධාවකයෙක් වමට වංගුවක හැරෙයි ,2.35,test
රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් සහ සුදු පැහැති මෝටර් සයිකලයක ගමන් කරයි,යතුරු පැදි ධාවන තරඟයක යතුරු පැදියක් වේගයෙන් ධාවනය කරයි ,3.35,test
රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් සහ සුදු පැහැති මෝටර් සයිකලයක ගමන් කරයි,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,3.65,train
රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් සහ සුදු පැහැති මෝටර් සයිකලයක ගමන් කරයි,යතුරු පැදි ධාවකයෙක් වමට වංගුවක හැරෙයි ,2.65,test
යතුරු පැදි ධාවන තරඟයක යතුරු පැදියක් වේගයෙන් ධාවනය කරයි ,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,3.65,train
යතුරු පැදි ධාවන තරඟයක යතුරු පැදියක් වේගයෙන් ධාවනය කරයි ,යතුරු පැදි ධාවකයෙක් වමට වංගුවක හැරෙයි ,2.65,train
මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,යතුරු පැදි ධාවකයෙක් වමට වංගුවක හැරෙයි ,3.0,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,තැඹිලි සහ කළු පැහැති ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් රතු මෝටර් සයිකලයක ගමන් කරයි,3.0,train
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,රතු පැහැති මෝටර් රථයක් වේගයෙන් ධාවනය වේ ,1.0,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,3.65,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,යතුරු පැදි ධාවකයෙක් දකුණට වංගුවක හැරෙයි ,3.0,test
තැඹිලි සහ කළු පැහැති ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් රතු මෝටර් සයිකලයක ගමන් කරයි,රතු පැහැති මෝටර් රථයක් වේගයෙන් ධාවනය වේ ,0.65,test
තැඹිලි සහ කළු පැහැති ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් රතු මෝටර් සයිකලයක ගමන් කරයි,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,2.65,test
තැඹිලි සහ කළු පැහැති ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් රතු මෝටර් සයිකලයක ගමන් කරයි,යතුරු පැදි ධාවකයෙක් දකුණට වංගුවක හැරෙයි ,1.65,train
රතු පැහැති මෝටර් රථයක් වේගයෙන් ධාවනය වේ ,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,0.65,train
රතු පැහැති මෝටර් රථයක් වේගයෙන් ධාවනය වේ ,යතුරු පැදි ධාවකයෙක් දකුණට වංගුවක හැරෙයි ,0.35,test
මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,යතුරු පැදි ධාවකයෙක් දකුණට වංගුවක හැරෙයි ,2.65,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් පැහැති මෝටර් සයිකලයක ගමන් කරයි,3.0,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,මෝටර් රථයක් වංගුවක් ගනිමින් ධාවනය වේ ,0.35,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,3.35,test
යතුරු පැදි ධාවන තරඟයක යෙදෙන ක්‍රීඩකයෙක්,නිල් පැහැති යතුරු පැදියක් වංගුවක් ලබාගෙන ගමන් කරයි ,1.35,test
රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් පැහැති මෝටර් සයිකලයක ගමන් කරයි,මෝටර් රථයක් වංගුවක් ගනිමින් ධාවනය වේ ,0.65,train
රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් පැහැති මෝටර් සයිකලයක ගමන් කරයි,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,3.0,test
රතු ආරක්ෂිත හිස්වැස්මක් පැළඳූ තරඟකරුවෙක් නිල් පැහැති මෝටර් සයිකලයක ගමන් කරයි,නිල් පැහැති යතුරු පැදියක් වංගුවක් ලබාගෙන ගමන් කරයි ,2.35,test
මෝටර් රථයක් වංගුවක් ගනිමින් ධාවනය වේ ,මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,1.65,train
මෝටර් රථයක් වංගුවක් ගනිමින් ධාවනය වේ ,නිල් පැහැති යතුරු පැදියක් වංගුවක් ලබාගෙන ගමන් කරයි ,2.0,train
මිනිසෙක් යතුරු පැදියක් ධාවනය කරයි,නිල් පැහැති යතුරු පැදියක් වංගුවක් ලබාගෙන ගමන් කරයි ,2.0,train
සතුන් දෙදෙනෙක් එකිනෙකා ස්පර්ශ කරමින් ගඟක ඉවුරක් මත සිටියි,කබරයෝ දෙදෙනෙක් වතුර කඩිත්තක අරගලයක නිරත වෙති,2.35,train
සතුන් දෙදෙනෙක් එකිනෙකා ස්පර්ශ කරමින් ගඟක ඉවුරක් මත සිටියි,උරගයින් දෙදෙනෙකු සටනක යෙදී සිටී ,1.65,test
සතුන් දෙදෙනෙක් එකිනෙකා ස්පර්ශ කරමින් ගඟක ඉවුරක් මත සිටියි,කිඹුලන් දෙදෙකු වැවක සිටියි,2.0,train
සතුන් දෙදෙනෙක් එකිනෙකා ස්පර්ශ කරමින් ගඟක ඉවුරක් මත සිටියි,කිඹුලන් දෙදෙනෙකු ජල පහරක් අසලක සටනක යෙදේ ,2.0,train
කබරයෝ දෙදෙනෙක් වතුර කඩිත්තක අරගලයක නිරත වෙති,උරගයින් දෙදෙනෙකු සටනක යෙදී සිටී ,3.0,test
කබරයෝ දෙදෙනෙක් වතුර කඩිත්තක අරගලයක නිරත වෙති,කිඹුලන් දෙදෙකු වැවක සිටියි,1.35,train
කබරයෝ දෙදෙනෙක් වතුර කඩිත්තක අරගලයක නිරත වෙති,කිඹුලන් දෙදෙනෙකු ජල පහරක් අසලක සටනක යෙදේ ,2.65,test
උරගයින් දෙදෙනෙකු සටනක යෙදී සිටී ,කිඹුලන් දෙදෙකු වැවක සිටියි,2.0,train
උරගයින් දෙදෙනෙකු සටනක යෙදී සිටී ,කිඹුලන් දෙදෙනෙකු ජල පහරක් අසලක සටනක යෙදේ ,3.0,train
කිඹුලන් දෙදෙකු වැවක සිටියි,කිඹුලන් දෙදෙනෙකු ජල පහරක් අසලක සටනක යෙදේ ,3.0,test
ජලය පිරුණු පාරක මිනිසෙකු සතුටින් උඩ පනියි,නිල් පැහැති ජැකට්ටුවක් සහ බූට්ස් සපත්තු දෙකක් පැලඳූ මිනිසෙක් පාරේ ඇති වතුර වලකට පනියි,3.35,train
ජලය පිරුණු පාරක මිනිසෙකු සතුටින් උඩ පනියි,මිනිසෙකු ජලය මත උඩ පනී ,4.0,test
ජලය පිරුණු පාරක මිනිසෙකු සතුටින් උඩ පනියි,මිනිසෙකු ජලය මත සතුටින් උඩපනියි,4.0,train
ජලය පිරුණු පාරක මිනිසෙකු සතුටින් උඩ පනියි,වර්ෂා අවස්ථාවක මාර්ගයේ පිරී ඇති වතුර වලක සිට මිනිසෙක් උඩ පනියි ,2.65,train
නිල් පැහැති ජැකට්ටුවක් සහ බූට්ස් සපත්තු දෙකක් පැලඳූ මිනිසෙක් පාරේ ඇති වතුර වලකට පනියි,මිනිසෙකු ජලය මත උඩ පනී ,2.65,train
නිල් පැහැති ජැකට්ටුවක් සහ බූට්ස් සපත්තු දෙකක් පැලඳූ මිනිසෙක් පාරේ ඇති වතුර වලකට පනියි,මිනිසෙකු ජලය මත සතුටින් උඩපනියි,3.0,test
නිල් පැහැති ජැකට්ටුවක් සහ බූට්ස් සපත්තු දෙකක් පැලඳූ මිනිසෙක් පාරේ ඇති වතුර වලකට පනියි,වර්ෂා අවස්ථාවක මාර්ගයේ පිරී ඇති වතුර වලක සිට මිනිසෙක් උඩ පනියි ,2.65,test
මිනිසෙකු ජලය මත උඩ පනී ,මිනිසෙකු ජලය මත සතුටින් උඩපනියි,4.35,train
මිනිසෙකු ජලය මත උඩ පනී ,වර්ෂා අවස්ථාවක මාර්ගයේ පිරී ඇති වතුර වලක සිට මිනිසෙක් උඩ පනියි ,3.35,train
මිනිසෙකු ජලය මත සතුටින් උඩපනියි,වර්ෂා අවස්ථාවක මාර්ගයේ පිරී ඇති වතුර වලක සිට මිනිසෙක් උඩ පනියි ,3.35,train
කහ පාටින්හි සැරසුන මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙන අවස්ථාවක්,අඩ හඳක් පායන වේලාවේ මිනිසෙක් හිමෙහි ස්කීං ක්‍රීඩාවේ යෙදෙයි,2.65,train
කහ පාටින්හි සැරසුන මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙන අවස්ථාවක්,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදී සිටී ,3.35,test
කහ පාටින්හි සැරසුන මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙන අවස්ථාවක්,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදෙයි,3.65,train
කහ පාටින්හි සැරසුන මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙන අවස්ථාවක්,කහ පැහති ඇදුමක් ඇඳි මිනිසෙක් හිම ක්‍රීඩා වල නියැලෙයි ,4.35,test
අඩ හඳක් පායන වේලාවේ මිනිසෙක් හිමෙහි ස්කීං ක්‍රීඩාවේ යෙදෙයි,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදී සිටී ,3.0,train
අඩ හඳක් පායන වේලාවේ මිනිසෙක් හිමෙහි ස්කීං ක්‍රීඩාවේ යෙදෙයි,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදෙයි,3.0,test
අඩ හඳක් පායන වේලාවේ මිනිසෙක් හිමෙහි ස්කීං ක්‍රීඩාවේ යෙදෙයි,කහ පැහති ඇදුමක් ඇඳි මිනිසෙක් හිම ක්‍රීඩා වල නියැලෙයි ,2.65,train
මිනිසෙකු හිම ක්‍රීඩාවේ යෙදී සිටී ,මිනිසෙකු හිම ක්‍රීඩාවේ යෙදෙයි,4.65,test
මිනිසෙකු හිම ක්‍රීඩාවේ යෙදී සිටී ,කහ පැහති ඇදුමක් ඇඳි මිනිසෙක් හිම ක්‍රීඩා වල නියැලෙයි ,3.0,test
මිනිසෙකු හිම ක්‍රීඩාවේ යෙදෙයි,කහ පැහති ඇදුමක් ඇඳි මිනිසෙක් හිම ක්‍රීඩා වල නියැලෙයි ,3.0,train
සුදු සහ රතු ඇඳුමකින් සැරසුන ක්‍රීඩකයෙක් තණකොළ පිට්ටනියක් මත ක්‍රීඩාවක යෙදෙයි,බේස්බෝල් ක්‍රීඩකයෙක් පිටියේ පන්දුව යැවීමට සූදානම් වී සිටියි,2.0,train
සුදු සහ රතු ඇඳුමකින් සැරසුන ක්‍රීඩකයෙක් තණකොළ පිට්ටනියක් මත ක්‍රීඩාවක යෙදෙයි,මිනිසෙකු බේස් බෝලයක් විසි කිරීමට සුදානම් වෙයි ,1.65,test
සුදු සහ රතු ඇඳුමකින් සැරසුන ක්‍රීඩකයෙක් තණකොළ පිට්ටනියක් මත ක්‍රීඩාවක යෙදෙයි,ක්‍රීඩකයෙකු පන්දුවක් දමයි,1.65,train
සුදු සහ රතු ඇඳුමකින් සැරසුන ක්‍රීඩකයෙක් තණකොළ පිට්ටනියක් මත ක්‍රීඩාවක යෙදෙයි,ක්‍රීඩකයෙකු තණතිල්ලක් මත වේගයෙන් දුවගෙන යයි ,2.0,test
බේස්බෝල් ක්‍රීඩකයෙක් පිටියේ පන්දුව යැවීමට සූදානම් වී සිටියි,මිනිසෙකු බේස් බෝලයක් විසි කිරීමට සුදානම් වෙයි ,4.0,test
බේස්බෝල් ක්‍රීඩකයෙක් පිටියේ පන්දුව යැවීමට සූදානම් වී සිටියි,ක්‍රීඩකයෙකු පන්දුවක් දමයි,2.65,test
බේස්බෝල් ක්‍රීඩකයෙක් පිටියේ පන්දුව යැවීමට සූදානම් වී සිටියි,ක්‍රීඩකයෙකු තණතිල්ලක් මත වේගයෙන් දුවගෙන යයි ,1.35,train
මිනිසෙකු බේස් බෝලයක් විසි කිරීමට සුදානම් වෙයි ,ක්‍රීඩකයෙකු පන්දුවක් දමයි,2.35,test
මිනිසෙකු බේස් බෝලයක් විසි කිරීමට සුදානම් වෙයි ,ක්‍රීඩකයෙකු තණතිල්ලක් මත වේගයෙන් දුවගෙන යයි ,1.35,train
ක්‍රීඩකයෙකු පන්දුවක් දමයි,ක්‍රීඩකයෙකු තණතිල්ලක් මත වේගයෙන් දුවගෙන යයි ,1.35,test
හිම කන්දක් තරණය කරන මිනිසෙක්,පුද්ගලයෙක් කඳු නගින ආම්පන්න සමඟ හිම කන්දක් නගියි,3.35,test
හිම කන්දක් තරණය කරන මිනිසෙක්,මිනිසෙකු හිම කන්දක් තරණය කරයි ,5.0,test
හිම කන්දක් තරණය කරන මිනිසෙක්,මිනිසෙක් හිම කන්දක් නගියි,4.65,test
හිම කන්දක් තරණය කරන මිනිසෙක්,කලු පැහැති අදුමකින් සැරසි පුදගලයෙක් හිම කඳු තරණයක යෙදේ ,3.65,train
පුද්ගලයෙක් කඳු නගින ආම්පන්න සමඟ හිම කන්දක් නගියි,මිනිසෙකු හිම කන්දක් තරණය කරයි ,3.65,train
පුද්ගලයෙක් කඳු නගින ආම්පන්න සමඟ හිම කන්දක් නගියි,මිනිසෙක් හිම කන්දක් නගියි,3.35,test
පුද්ගලයෙක් කඳු නගින ආම්පන්න සමඟ හිම කන්දක් නගියි,කලු පැහැති අදුමකින් සැරසි පුදගලයෙක් හිම කඳු තරණයක යෙදේ ,3.35,train
මිනිසෙකු හිම කන්දක් තරණය කරයි ,මිනිසෙක් හිම කන්දක් නගියි,4.35,test
මිනිසෙකු හිම කන්දක් තරණය කරයි ,කලු පැහැති අදුමකින් සැරසි පුදගලයෙක් හිම කඳු තරණයක යෙදේ ,3.35,test
මිනිසෙක් හිම කන්දක් නගියි,කලු පැහැති අදුමකින් සැරසි පුදගලයෙක් හිම කඳු තරණයක යෙදේ ,3.35,train
අඳුරු ප්‍රදේශයක මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙයි,පුද්ගලයෙක් ඉර බැසයන මොහොතේ හිමේ ස්කීං ක්‍රීඩාවේ යෙදෙයි,3.65,train
අඳුරු ප්‍රදේශයක මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙයි,මිනිසෙකු හිම මත ලිස්සා යයි ,3.35,test
අඳුරු ප්‍රදේශයක මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙයි,මිනිසෙක් අඳුරේ හිම ක්‍රීඩාවේ යෙදෙයි,4.35,train
අඳුරු ප්‍රදේශයක මිනිසෙක් හිම ක්‍රීඩාවක යෙදෙයි,හිම මත ලිස්සා යන ක්‍රීඩාවේ නියුතු පුද්ගලයෙක් කන්දක් උඩින් පිම්මක් පනියි ,2.0,train
පුද්ගලයෙක් ඉර බැසයන මොහොතේ හිමේ ස්කීං ක්‍රීඩාවේ යෙදෙයි,මිනිසෙකු හිම මත ලිස්සා යයි ,2.65,test
පුද්ගලයෙක් ඉර බැසයන මොහොතේ හිමේ ස්කීං ක්‍රීඩාවේ යෙදෙයි,මිනිසෙක් අඳුරේ හිම ක්‍රීඩාවේ යෙදෙයි,3.65,train
පුද්ගලයෙක් ඉර බැසයන මොහොතේ හිමේ ස්කීං ක්‍රීඩාවේ යෙදෙයි,හිම මත ලිස්සා යන ක්‍රීඩාවේ නියුතු පුද්ගලයෙක් කන්දක් උඩින් පිම්මක් පනියි ,2.0,test
මිනිසෙකු හිම මත ලිස්සා යයි ,මිනිසෙක් අඳුරේ හිම ක්‍රීඩාවේ යෙදෙයි,3.35,train
මිනිසෙකු හිම මත ලිස්සා යයි ,හිම මත ලිස්සා යන ක්‍රීඩාවේ නියුතු පුද්ගලයෙක් කන්දක් උඩින් පිම්මක් පනියි ,2.35,test
මිනිසෙක් අඳුරේ හිම ක්‍රීඩාවේ යෙදෙයි,හිම මත ලිස්සා යන ක්‍රීඩාවේ නියුතු පුද්ගලයෙක් කන්දක් උඩින් පිම්මක් පනියි ,2.0,train
මෝටර් රථ ධාවන තරඟයක් බලා සිටින පිරිසක්,මෝටර් රථ ධාවන තරඟයක ධාවන මාර්ගයේ යන නිල්පැහැති කාර් එක දෙස මිනිසුන් පිරිසක් බලා සිටිති,3.35,train
මෝටර් රථ ධාවන තරඟයක් බලා සිටින පිරිසක්,නිල පැහැති මෝටර් රථයක් මෝටර් රථ තරගයක යෙදී සිටී ,1.65,train
මෝටර් රථ ධාවන තරඟයක් බලා සිටින පිරිසක්,මිනිසුන් පිරිසක් මෝටර් රථ ධාවන තරඟයක් නරඹයි,4.35,train
මෝටර් රථ ධාවන තරඟයක් බලා සිටින පිරිසක්,වැලි සහිත මාර්ගයක ගම්න් ලරන මෝටර් රථයක් දෙස පිරිසක් ඉතා උනන්දුවෙන් බලා සිටියි ,3.35,train
මෝටර් රථ ධාවන තරඟයක ධාවන මාර්ගයේ යන නිල්පැහැති කාර් එක දෙස මිනිසුන් පිරිසක් බලා සිටිති,නිල පැහැති මෝටර් රථයක් මෝටර් රථ තරගයක යෙදී සිටී ,2.35,test
මෝටර් රථ ධාවන තරඟයක ධාවන මාර්ගයේ යන නිල්පැහැති කාර් එක දෙස මිනිසුන් පිරිසක් බලා සිටිති,මිනිසුන් පිරිසක් මෝටර් රථ ධාවන තරඟයක් නරඹයි,3.35,train
මෝටර් රථ ධාවන තරඟයක ධාවන මාර්ගයේ යන නිල්පැහැති කාර් එක දෙස මිනිසුන් පිරිසක් බලා සිටිති,වැලි සහිත මාර්ගයක ගම්න් ලරන මෝටර් රථයක් දෙස පිරිසක් ඉතා උනන්දුවෙන් බලා සිටියි ,4.0,test
නිල පැහැති මෝටර් රථයක් මෝටර් රථ තරගයක යෙදී සිටී ,මිනිසුන් පිරිසක් මෝටර් රථ ධාවන තරඟයක් නරඹයි,1.65,train
නිල පැහැති මෝටර් රථයක් මෝටර් රථ තරගයක යෙදී සිටී ,වැලි සහිත මාර්ගයක ගම්න් ලරන මෝටර් රථයක් දෙස පිරිසක් ඉතා උනන්දුවෙන් බලා සිටියි ,1.65,test
මිනිසුන් පිරිසක් මෝටර් රථ ධාවන තරඟයක් නරඹයි,වැලි සහිත මාර්ගයක ගම්න් ලරන මෝටර් රථයක් දෙස පිරිසක් ඉතා උනන්දුවෙන් බලා සිටියි ,3.0,test
සතුටින් උඩ පනින මිනිසුන් පිරිසක්,පුද්ගලයින් 6 දෙනෙක් ශුෂ්ක බිමක පන්දුවක් සමඟ සෙල්ලක් කරති,1.35,test
සතුටින් උඩ පනින මිනිසුන් පිරිසක්,මිනිසුන් පිරිසක් උඩ පනියි ,4.35,test
සතුටින් උඩ පනින මිනිසුන් පිරිසක්,මිනිසුන් පිරිසක් උඩ පනියි,4.35,test
සතුටින් උඩ පනින මිනිසුන් පිරිසක්,ඉරි තැලුණු බිමක් මත බෝලයක් උඩ දමම්න් පිරිසක් උඩ පනියි ,2.65,test
පුද්ගලයින් 6 දෙනෙක් ශුෂ්ක බිමක පන්දුවක් සමඟ සෙල්ලක් කරති,මිනිසුන් පිරිසක් උඩ පනියි ,1.65,test
